Region Name,Team Seed,Team Name,Team Mascot
SOUTH,1,Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia.svg
SOUTH,16,UMBC,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/umbc.svg
SOUTH,8,Creighton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg
SOUTH,9,Kansas St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas-st.svg
SOUTH,5,Kentucky,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kentucky.svg
SOUTH,12,Davidson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg
SOUTH,4,Arizona,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg
SOUTH,13,Buffalo,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg
SOUTH,6,Miami (FL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/miami-fl.svg
SOUTH,11,Loyola (IL),https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/loyola-il.svg
SOUTH,3,Tennessee,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tennessee.svg
SOUTH,14,Wright St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wright-st.svg
SOUTH,7,Nevada,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nevada.svg
SOUTH,10,Texas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas.svg
SOUTH,2,Cincinnati,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cincinnati.svg
SOUTH,15,Georgia St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg
EAST,1,Villanova,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/villanova.svg
EAST,16,Radford,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/radford.svg
EAST,8,Virginia Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/virginia-tech.svg
EAST,9,Alabama,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg
EAST,5,West Virginia,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/west-virginia.svg
EAST,12,Murray St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/murray-st.svg
EAST,4,Wichita St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/wichita-st.svg
EAST,13,Marshall,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/marshall.svg
EAST,6,Florida,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg
EAST,11,St. Bonaventure,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/st-bonaventure.svg
EAST,3,Texas Tech,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-tech.svg
EAST,14,Stephen F. Austin,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/stephen-f-austin.svg
EAST,7,Arkansas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas.svg
EAST,10,Butler,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg
EAST,2,Purdue,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/purdue.svg
EAST,15,Cal St. Fullerton,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg
WEST,3,Michigan,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan.svg
WEST,1,Kansas,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/kansas.svg
WEST,1,Xavier,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/xavier.svg
WEST,16,Texas Southern,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-southern.svg
WEST,8,Missouri,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/missouri.svg
WEST,9,Florida St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg
WEST,5,Ohio St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ohio-st.svg
WEST,12,South Dakota St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/south-dakota-st.svg
WEST,4,Gonzaga,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg
WEST,13,UNC Greensboro,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/unc-greensboro.svg
WEST,6,Houston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/houston.svg
WEST,11,San Diego St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/san-diego-st.svg
WEST,14,Montana,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/montana.svg
WEST,7,Texas A&M,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/texas-am.svg
WEST,10,Providence,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/providence.svg
WEST,2,North Carolina,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina.svg
MIDWEST,15,Lipscomb,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/lipscomb.svg
MIDWEST,16,Penn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/penn.svg
MIDWEST,8,Seton Hall,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/seton-hall.svg
MIDWEST,9,North Carolina St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/north-carolina-st.svg
MIDWEST,5,Clemson,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/clemson.svg
MIDWEST,12,New Mexico St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/new-mexico-st.svg
MIDWEST,4,Auburn,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg
MIDWEST,13,Col. of Charleston,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/col-of-charleston.svg
MIDWEST,6,TCU,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/tcu.svg
MIDWEST,11,Syracuse,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/syracuse.svg
MIDWEST,3,Michigan St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/michigan-st.svg
MIDWEST,14,Bucknell,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg
MIDWEST,7,Rhode Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/rhode-island.svg
MIDWEST,10,Oklahoma,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/oklahoma.svg
MIDWEST,2,Duke,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg
MIDWEST,15,Iona,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/iona.svg
EAST,16,Long Island,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/long-island.svg
EAST,11,UCLA,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/ucla.svg
WEST,16,N.C. Central,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/nc-central.svg
MIDWEST,11,Arizona St.,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg
